,AMZN,EVRG,EXR,KMI,MAA,NU,NVDA,PSA,AVGO,T,VZ,XLF,US Inflation,Nigeria Inflation
2006-01-01,-0.09995163084121705,-0.007245000730493278,0.15197881714053918,0.0,0.3121675556907213,0.0,0.9020708153578008,0.306351830269741,0.0,0.2212132490857368,0.01036351060241314,0.1258977003324806,3.22594410070404,8.22522152017048
2007-01-01,0.8722013350247961,0.13922414515536596,0.02435212105865059,0.0,-0.06741874124980218,0.0,0.5320843107341569,0.053549186210428035,0.0,0.3413180364810797,0.251320882532184,0.03974580099285574,2.85267248150138,5.3880079685863
2008-01-01,0.0394255234130827,-0.14648199505216408,-0.15497445499005225,0.0,-0.10135242412580181,0.0,-0.42485567663541934,-0.04661378022746843,0.0,-0.15383205424412028,-0.15058500914626494,-0.3864839582292239,3.839100296651,11.5810751748252
2009-01-01,0.24902369784386935,-0.13643523582817418,-0.38710038694274873,0.0,-0.19693598412231395,0.0,-0.2567941258096895,-0.16934669127438096,0.008836592202343452,-0.22901361300804846,-0.12611968023425835,-0.42985061269033964,-0.355546266299747,12.5378277304689
2010-01-01,0.5941508581950528,0.2171452561511189,0.6794667957758063,0.0,0.4529796037472864,0.0,0.1444873806197029,0.3787373192571435,0.3180977118744224,0.04070970039140209,0.03278206413606588,0.22232122048971692,1.6400434423899,13.7400521363694
2011-01-01,0.4134789614905663,0.13353887743828952,0.4211583160195129,-0.07433860204242693,0.1554620463864249,0.0,0.245102285315973,0.23826492456811943,0.5062718434832287,0.10144346676176763,0.24180488378647946,-0.020836049762543052,3.156841568622,10.8261371880017
2012-01-01,0.12015748921537539,0.09211884092212275,0.48112317728834797,0.20141735485175327,0.02565046174206298,0.0,-0.20012741767959563,0.2060466077415719,0.06385065170471615,0.15203775283435816,0.14640624356540188,0.03218016469099383,2.06933726526067,12.2242413020583
2013-01-01,0.35282189605716296,0.10221652045127949,0.3692734551031309,0.07565556082638802,0.004958716151247877,0.0,0.05043330666771695,0.12041861957409528,0.11791990572119304,0.04743371280016806,0.15859440196241303,0.2938515424243384,1.46483265562717,8.49551838265678
2014-01-01,0.1158247833485313,0.13150024718732767,0.23533360404035242,-0.025322322789340324,0.05954861660602506,0.0,0.3071321079094984,0.09469003932720077,0.90663097782097,-0.024011313317299332,-0.001097633936407938,0.1644792972456608,1.62222297740817,8.04741087967907
2015-01-01,0.4377892308995941,0.07355287846510916,0.38835954097361647,-0.03538928492925242,0.14103181166714673,0.0,0.2788145135093034,0.20639205479705125,0.7090600121111128,-0.022548143773323703,-0.029584569379995873,0.0658216549063193,0.118627135552451,9.00943498007699
2016-01-01,0.4630142438482183,0.3589738550461372,0.15942647909506635,-0.4515797298738158,0.2101574309432337,0.0,1.266658855057654,0.15287421894966502,0.25158446415088487,0.16193819870975612,0.08977193387811977,-0.019034681117207963,1.26158320570536,15.6968126387972
2017-01-01,0.3840385910389308,0.010164671921471635,-0.06228296737817873,0.032885194678545115,0.06591735233977447,0.0,1.7860935272815004,-0.1052971226448759,0.5038911801363906,-0.017359233241071137,-0.06162981859247241,0.29014109671080446,2.13011000365961,16.5022662139641
2018-01-01,0.6957055462085038,0.02894547673664727,0.1489438712248412,-0.13469455200714964,-0.06427803357181194,0.0,0.5514647872469993,-0.03640773145864007,0.011915428919438531,-0.13709047438447786,0.07975440048229077,0.10786051357872584,2.44258329692817,12.0951065173432
2019-01-01,0.08982194286475331,0.11158367161805494,0.18024383538921152,0.16339478800535367,0.23448167688175037,0.0,-0.24871079553283548,0.1082531654603589,0.20309885972566732,0.018733066093875594,0.11471100851027272,-0.00328033119226645,1.81221007526021,11.3964223378115
2020-01-01,0.49836310390447225,-0.029476843158940724,-0.0277556630959932,-0.22869689734043963,0.01416279979279289,0.0,1.2660722566412743,-0.07849595991609737,0.11910298215144288,-0.08397298978876644,-0.005298495641095302,-0.07865281913687361,1.23358439630629,13.2460234276597
2021-01-01,0.24731358973856987,0.05649289116697642,0.5633068532690724,0.08686689791037905,0.4379442590443783,-0.0031500176208253405,0.9737709408566246,0.38434083459339896,0.5339019222768844,-0.10023685303932095,-0.042330157990900896,0.4377443376288004,4.69785886363742,16.9528457221608
2022-01-01,-0.24579046166756013,0.04368231754225005,0.13101393519684756,0.07940828156470947,0.044693292815351615,-0.46622818664347787,-0.048818626022691713,0.13845233800381473,0.09602015430495348,-0.11805193489848476,-0.1611732721816892,-0.0356067547013994,8.00279982052121,18.8471877843274
2023-01-01,-0.037478689303748314,-0.1211248249703959,-0.22406387908817893,-0.04205449620636903,-0.19718487088295944,0.19175604816476755,0.9693761805359742,-0.1467007631373145,0.4462877403326171,-0.10691338676389206,-0.2155950103484442,-0.02818205785423511,4.11633838374488,24.6595502031139
2024-01-01,0.4916052242162614,-0.025177856841594903,0.09955658586076077,0.18250544342355735,-0.020583193252417642,0.8717903934570916,1.8754564933008568,0.07585202476705377,0.8855722456080712,0.1359410500177476,0.13051918413504482,0.2501176229366877,3.0,31.7
