year,portfolio_value,growth_rate,annual_dividend,total_dividends,reward,Simulation,portfolio_value Std,growth_rate Std,annual_dividend Std,total_dividends Std,reward Std,Simulation Std
0,112380.43684184906,12.380436841849052,2947.5090860630767,2947.5090860630767,-50990.06891519426,12.666666666666666,4106.9807272675935,4.106980727267595,381.12184398439,381.12184398439,1965.6104705701246,4.830458915396481
1,125135.33183786586,11.265333765497582,3331.4479783768743,6278.957064439951,-55199.03308156851,12.666666666666666,9200.723912204641,5.780105265991823,383.17715172364956,658.3389353108224,4151.1177462697815,4.830458915396481
2,145460.24628076376,16.256695708230183,4020.3147786278046,10299.271843067756,-67097.58823578026,12.666666666666666,11410.49500664068,3.3725884656497085,557.995103701847,1025.8463455286035,5308.655010051935,4.830458915396481
3,172204.71788727227,18.412374525517162,4594.0035456468095,14893.275388714565,-73577.32563652855,12.666666666666666,14267.539372598882,3.66457750498263,469.8850331432814,1331.0483774603147,6146.586091235798,4.830458915396481
4,194206.2652538038,12.896533719668188,5062.9766049104355,19956.251993625,-88017.79396499773,12.666666666666666,15528.301341396833,5.028158479964966,665.1147674687035,1751.2996244169003,7089.774663047933,4.830458915396481
5,169150.1701627697,14.20466330442059,4447.20006524396,24403.452058868963,-77152.51738022333,12.666666666666666,16881.031562852473,2.458538971680684,730.2279858731703,1909.6879383212977,7736.700389555503,4.830458915396481
6,193407.72994295394,14.584037904924065,4969.699521245558,29373.151580114518,-87459.49404988642,12.666666666666666,17772.992181159072,5.419726814613757,732.484040817687,2102.5621089847295,8104.287685081307,4.830458915396481
7,215448.51211421788,11.62778785940931,5520.5875594441295,34893.739139558646,-93526.7612131286,12.666666666666666,17888.437219110303,5.45788434183393,963.0164528786877,2489.3744990303753,7831.825456707369,4.830458915396481
8,243982.936320256,13.085319358575015,6676.572329970908,41570.31146952955,-105994.07355503962,12.666666666666666,27307.60542857669,5.517790670093383,659.3356867118414,2876.9239374168096,11959.883963789784,4.830458915396481
9,278081.47210120247,13.739708864857995,7292.393123958116,48862.704593487666,-115044.52685191738,12.666666666666666,37099.48449888018,3.469040166051434,1392.1272838847292,3770.9555833308937,15472.21953621325,4.830458915396481
10,320896.19750009855,15.413143547180082,8750.24528897102,57612.94988245869,-146134.32248976672,12.666666666666666,45701.60364620312,6.01858693782837,2241.209507096595,5632.750454034735,20953.027156628235,4.830458915396481
11,363057.4159580569,13.25027506710965,10053.413559011045,67666.36344146973,-167712.34604243745,12.666666666666666,50537.08846937597,4.982046479087031,2541.622080555955,7827.94033444524,23491.674563660665,4.830458915396481
12,401059.6070320419,10.571743276591986,10975.316307831654,78641.67974930139,-182689.94313539143,12.666666666666666,55441.83468704739,4.858559349301288,2032.5813700121319,9346.441531647282,25410.68651432658,4.830458915396481
13,451659.72805429547,12.657263087311971,12504.824788093161,91146.50453739456,-202900.4143323288,12.666666666666666,62689.85539206274,3.5525900251347537,2686.669675694176,11627.899020412571,28329.49432712909,4.830458915396481
14,492616.1202598004,9.068082066836633,12798.590079437034,103945.09461683159,-221485.42159946734,12.666666666666666,74416.02572918092,6.370829092303452,2211.7223794177166,12928.680179074609,33652.97763468186,4.830458915396481
15,462608.028967654,15.108384629612235,12064.943726126136,116010.03834295772,-218251.6354444921,12.666666666666666,90422.13770697816,5.37598094441842,2411.712055254187,14930.78731632988,42907.933964463395,4.830458915396481
16,542319.7716046586,17.29426043796775,14493.803944900346,130503.84228785806,-260310.04139439788,12.666666666666666,108412.88935423849,6.3423421199863075,3286.6591892720917,17373.30111556352,52329.51156064806,4.830458915396481
17,614812.2116676716,13.89180389349964,15682.241660684285,146186.08394854236,-293145.9370648951,12.666666666666666,114508.28006719316,5.879493861294278,3939.539795904672,20816.643951616104,54891.61647468084,4.830458915396481
