Price,AMZN,EVRG,EXR,KMI,MAA,NU,NVDA,PSA,AVGO,T,VZ,XLF
Ticker,AMZN,EVRG,EXR,KMI,MAA,NU,NVDA,PSA,AVGO,T,VZ,XLF
Date,,,,,,,,,,,,
2005-01-01,1.9948551640624093,22.97325399186876,14.247301555815197,31.049999237060547,43.07388877868652,10.329999923706055,0.23784555216866826,62.36646818736243,1.6180000305175781,18.10626765659877,30.439470109485445,24.208766906980483
2006-01-01,1.795466137122348,22.806812749915863,16.412589593712553,31.049999237060547,56.520159352823086,10.329999923706055,0.4523990833426852,81.47254986402048,1.6180000305175781,22.111613953730973,30.75492988069694,27.256594988454385
2007-01-01,3.3614740989122733,25.9820717587414,16.81227096238459,31.049999237060547,52.70964135401752,10.329999923706055,0.6931135377798422,85.8353386077273,1.6180000305175781,29.65870661184607,38.48428600052913,28.33993018860836
2008-01-01,3.49400197470141,22.176166051932473,14.206798432843959,31.049999237060547,47.367391427986234,10.329999923706055,0.3986403167012181,81.83422899811636,1.6180000305175781,25.096246847522117,32.68912944115198,17.387001793375127
2009-01-01,4.364091266715337,19.150555606872317,8.707341262272426,31.049999237060547,38.03904758180891,10.329999923706055,0.296271825061431,67.97587308429536,1.6322976369706412,19.34886468402923,28.566386888897608,9.913188419644795
2010-01-01,6.957019838075789,23.30900790956285,14.623690529475136,31.049999237060547,55.26996028234088,10.329999923706055,0.339079365015976,93.7208730304052,2.1515277803890287,20.136551168229843,29.50285201602512,12.117100568044753
2011-01-01,9.833601175792634,26.421666660006085,20.782579406859384,28.741785700359042,63.862341411530025,10.329999923706055,0.42218849228488076,116.051269773453,3.2407857160719615,22.1792727273608,36.636785719129776,11.864628057631235
2012-01-01,11.01518200302124,28.855599967956543,30.78156004333496,34.53088014984131,65.50043995666503,10.329999923706055,0.3376969995498657,139.963240234375,3.447711996078491,25.551359512329103,42.00063989257813,12.246433742523193
2013-01-01,14.901579402741932,31.80511899221511,42.14837307400174,37.14333325340634,65.82523804619198,10.329999923706055,0.35472817588893196,156.8174204145159,3.8542658696098933,26.763355361090767,48.66170625838022,15.845067186961098
2014-01-01,16.627551608615452,35.987500001513766,52.06730161394392,36.202777779291544,69.745039909605,10.329999923706055,0.4636765882845909,171.6664681207566,7.348662703756302,26.120732050093395,48.60829351818751,18.451252702682737
2015-01-01,23.90691463909452,38.63448421538822,72.28813496847002,34.92158736122979,79.58130924285405,10.329999923706055,0.5929563506728127,207.09706321595206,12.559305569482229,25.531758028363424,47.170238086155486,19.665744690668014
2016-01-01,34.97615664345877,52.503253951905265,83.81277780684213,19.15170637388078,96.30591274443127,10.329999923706055,1.3440297629152025,238.75686500186012,15.719031731287638,29.666324933369953,51.404801580641006,19.291413511548722
2017-01-01,48.40835056076962,53.03693230313609,78.59266930082404,19.781513966412184,102.65414352720953,10.329999923706055,3.744592622931735,213.6164541054532,23.639713180967536,29.15134027944618,48.23673298444406,24.8886453848911
2018-01-01,82.08630852870257,54.57211159329965,90.29856571638251,17.117051804683122,96.05573704328195,10.329999923706055,5.809603597063467,205.83916360923493,23.92139050305127,25.154969211593567,52.08382470484274,27.573147458384238
2019-01-01,89.4594602433462,60.66146817283025,106.57432553124806,19.913888855585977,118.57904733930316,10.329999923706055,4.36469246470739,228.12190464564733,28.779797637273393,25.626198912423753,58.05841276380751,27.482698402707538
2020-01-01,134.04275452383894,58.873359589708656,103.61628445712003,15.359644260331105,120.25845864638981,10.329999923706055,9.89070850304464,210.2152567625988,32.2075573615877,23.474290372825894,57.75079051684956,25.321106695846137
2021-01-01,167.19334932357546,62.199285885644336,161.9840476020934,16.693888910233028,172.924960212102,10.297460241923256,19.521993027793037,291.0095639910017,49.403234148782396,21.1213013785226,55.3061904301719,36.405277774447484
2022-01-01,126.0988188055882,64.91629484260224,183.20621511755712,18.01952194122679,180.65354609394453,5.496494026298067,18.568956150951614,331.3005185070266,54.14694031491223,18.627890883213972,46.39231074663747,35.109003978896425
2023-01-01,121.3728003540039,57.05331999206543,142.1563198852539,17.261720024108886,145.03139993286132,6.550479999542237,36.56925994110107,282.6984796142578,78.3120559539795,16.636319980621337,36.390360031127926,34.119559997558596
2024-01-01,181.04030308578953,55.61683966896751,156.30891775155996,20.412077891362177,142.04619060037456,12.261125535675973,105.15331595284599,304.1417316915669,147.66303920333004,18.897878787218236,41.140000132771284,42.65346323979365
